numExamplesUsed	epoch	score	AUC	condition
2776689	0	NaN	0.994833	error_enrichment_ne=8
5553378	1	NaN	0.995198	error_enrichment_ne=8
8330067	2	NaN	0.995344	error_enrichment_ne=8
11106756	3	NaN	0.995458	error_enrichment_ne=8
13883445	4	NaN	0.995546	error_enrichment_ne=8
16660134	5	NaN	0.995613	error_enrichment_ne=8
19436823	6	NaN	0.995651	error_enrichment_ne=8
22213512	7	NaN	0.995693	error_enrichment_ne=8
24990201	8	NaN	0.995720	error_enrichment_ne=8
27766890	9	NaN	0.995751	error_enrichment_ne=8
30543579	10	NaN	0.995779	error_enrichment_ne=8
33320268	11	NaN	0.995799	error_enrichment_ne=8
36096957	12	NaN	0.995817	error_enrichment_ne=8
38873646	13	NaN	0.995832	error_enrichment_ne=8
41650335	14	NaN	0.995849	error_enrichment_ne=8
44427024	15	NaN	0.995860	error_enrichment_ne=8
47203713	16	NaN	0.995873	error_enrichment_ne=8
49980402	17	NaN	0.995885	error_enrichment_ne=8
52757091	18	NaN	0.995910	error_enrichment_ne=8
55533780	19	NaN	0.995914	error_enrichment_ne=8
58310469	20	NaN	0.995926	error_enrichment_ne=8
61087158	21	NaN	0.995934	error_enrichment_ne=8
63863847	22	NaN	0.995943	error_enrichment_ne=8
66640536	23	NaN	0.995949	error_enrichment_ne=8
69417225	24	NaN	0.995961	error_enrichment_ne=8
72193914	25	NaN	0.995968	error_enrichment_ne=8
74970603	26	NaN	0.995984	error_enrichment_ne=8
77747292	27	NaN	0.995989	error_enrichment_ne=8
80523981	28	NaN	0.995996	error_enrichment_ne=8
83300670	29	NaN	0.996000	error_enrichment_ne=8
86077359	30	NaN	0.996006	error_enrichment_ne=8
88854048	31	NaN	0.996017	error_enrichment_ne=8
91630737	32	NaN	0.996022	error_enrichment_ne=8
94407426	33	NaN	0.996032	error_enrichment_ne=8
97184115	34	NaN	0.996036	error_enrichment_ne=8
99960804	35	NaN	0.996038	error_enrichment_ne=8
102737493	36	NaN	0.996044	error_enrichment_ne=8
105514182	37	NaN	0.996050	error_enrichment_ne=8
108290871	38	NaN	0.996056	error_enrichment_ne=8
111067560	39	NaN	0.996063	error_enrichment_ne=8
113844249	40	NaN	0.996062	error_enrichment_ne=8
116620938	41	NaN	0.996069	error_enrichment_ne=8
119397627	42	NaN	0.996071	error_enrichment_ne=8
122174316	43	NaN	0.996075	error_enrichment_ne=8
124951005	44	NaN	0.996077	error_enrichment_ne=8
127727694	45	NaN	0.996079	error_enrichment_ne=8
130504383	46	NaN	0.996084	error_enrichment_ne=8
133281072	47	NaN	0.996084	error_enrichment_ne=8
136057761	48	NaN	0.996089	error_enrichment_ne=8
138834450	49	NaN	0.996092	error_enrichment_ne=8
141611139	50	NaN	0.996095	error_enrichment_ne=8
144387828	51	NaN	0.996101	error_enrichment_ne=8
147164517	52	NaN	0.996104	error_enrichment_ne=8
149941206	53	NaN	0.996106	error_enrichment_ne=8
152717895	54	NaN	0.996108	error_enrichment_ne=8
155494584	55	NaN	0.996108	error_enrichment_ne=8
158271273	56	NaN	0.996107	error_enrichment_ne=8
161047962	57	NaN	0.996118	error_enrichment_ne=8
