numExamplesUsed	epoch	score	AUC	condition
4487139	0	NaN	0.993309	error_enrichment_ne=8
8974278	1	NaN	0.993709	error_enrichment_ne=8
13461417	2	NaN	0.993861	error_enrichment_ne=8
17948556	3	NaN	0.993938	error_enrichment_ne=8
22435695	4	NaN	0.993956	error_enrichment_ne=8
26922834	5	NaN	0.993987	error_enrichment_ne=8
31409973	6	NaN	0.994018	error_enrichment_ne=8
35897112	7	NaN	0.994027	error_enrichment_ne=8
40384251	8	NaN	0.994031	error_enrichment_ne=8
44871390	9	NaN	0.994035	error_enrichment_ne=8
49358529	10	NaN	0.994041	error_enrichment_ne=8
53845668	11	NaN	0.994043	error_enrichment_ne=8
58332807	12	NaN	0.994037	error_enrichment_ne=8
62819946	13	NaN	0.994037	error_enrichment_ne=8
67307085	14	NaN	0.994037	error_enrichment_ne=8
71794224	15	NaN	0.994028	error_enrichment_ne=8
76281363	16	NaN	0.994018	error_enrichment_ne=8
80768502	17	NaN	0.994021	error_enrichment_ne=8
85255641	18	NaN	0.994009	error_enrichment_ne=8
89742780	19	NaN	0.994015	error_enrichment_ne=8
94229919	20	NaN	0.994008	error_enrichment_ne=8
98717058	21	NaN	0.994014	error_enrichment_ne=8
103204197	22	NaN	0.994009	error_enrichment_ne=8
107691336	23	NaN	0.994009	error_enrichment_ne=8
112178475	24	NaN	0.994011	error_enrichment_ne=8
116665614	25	NaN	0.994011	error_enrichment_ne=8
121152753	26	NaN	0.994011	error_enrichment_ne=8
